Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
113	France	Nouvelle-Aquitaine	Charente-Maritime	588727.0	-0.9658143107989474	45.93797889815516	-0.6583333333333314	45.71666666666666
114	France	Nouvelle-Aquitaine	Corrèze	241152.0	1.679385964912285	45.240838102050546	1.8333333333333428	44.80833333333333
115	France	Nouvelle-Aquitaine	Creuse	124069.0	1.8747661760196195	46.17001834784092	2.0250000000000057	46.099999999999994
116	France	Nouvelle-Aquitaine	Deux-Sèvres	362689.0	-0.20671545968156124	46.420061598768015	-0.3083333333333371	46.24999999999999
117	France	Nouvelle-Aquitaine	Dordogne	406896.0	0.639009661835729	45.110861678004525	0.7249999999999943	44.92499999999999
118	France	Nouvelle-Aquitaine	Gironde	1394423.0	-0.5858250680668959	44.83878539941841	-0.49166666666667425	44.14166666666666
119	France	Nouvelle-Aquitaine	Haute-Vienne	370498.0	1.2598228013530104	45.83865878238188	1.2249999999999943	45.31666666666666
120	France	Nouvelle-Aquitaine	Landes	365554.0	-0.9923076923076906	43.752647526791144	-0.6666666666666572	43.033333333333324
121	France	Nouvelle-Aquitaine	Lot-et-Garonne	324339.0	0.4748427672955984	44.37278323629306	0.5166666666666799	43.408333333333324
122	France	Nouvelle-Aquitaine	Pyrénées-Atlantiques	641287.0	-1.4398809523809462	43.35447023397111	-0.8249999999999886	42.14999999999999
123	France	Nouvelle-Aquitaine	Vienne	420414.0	0.34906289046230654	46.59114671724734	0.5083333333333258	46.04999999999999
124	France	Occitanie	Ariège	148396.0	1.3340909090908895	43.00359520221049	1.4083333333333314	42.36666666666666
125	France	Occitanie	Aude	337256.0	2.4402394106814143	43.20419825496021	2.5	42.24166666666666
126	France	Occitanie	Aveyron	274666.0	2.56959876543209	44.35480418943533	2.5083333333333258	43.949999999999996
127	France	Occitanie	Gard	683335.0	4.4194611528822065	43.90137550512899	4.14166666666668	43.14166666666666
128	France	Occitanie	Gers	183778.0	0.5987835570469713	43.66620882806735	0.4000000000000057	43.58333333333333
129	France	Occitanie	Haute-Garonne	1189957.0	1.4341584158415799	43.58513503552372	1.26666666666668	42.84166666666666
130	France	Occitanie	Hautes-Pyrénées	228294.0	0.09446839080459313	43.208375663167395	0.18333333333333712	42.724999999999994
131	France	Occitanie	Hérault	978584.0	3.8714142546541552	43.595885683070954	3.333333333333343	42.54999999999999
132	France	Occitanie	Lot	170362.0	2.030151819602594	44.60927278124072	1.6666666666666572	44.31666666666666
133	France	Occitanie	Lozère	76143.0	3.4940074906367045	44.53624770642201	3.5250000000000057	44.20833333333333
134	France	Occitanie	Pyrénées-Orientales	425100.0	2.8636507936508053	42.68070139239151	2.4666666666666686	42.24166666666666
135	France	Occitanie	Tarn	369001.0	1.9682539682539755	43.77423287403498	2.14166666666668	43.29166666666666
136	France	Occitanie	Tarn-et-Garonne	231270.0	1.3445035460992756	44.036638620048244	1.1999999999999886	43.824999999999996
137	France	Pays de la Loire	Loire-Atlantique	1215337.0	-1.5536508633304038	47.24189604125488	-1.76666666666668	46.73333333333333
138	France	Pays de la Loire	Maine-et-Loire	770297.0	-0.536777777777786	47.42945532583725	-0.39166666666667993	46.70833333333333
139	France	Pays de la Loire	Mayenne	301523.0	-0.7623853736818091	48.082326052528735	-0.6666666666666572	47.86666666666666
140	France	Pays de la Loire	Sarthe	554997.0	0.20791487839770184	47.989587090272614	0.25	47.59166666666666
141	France	Pays de la Loire	Vendée	601214.0	-1.607500000000016	46.69747498621287	-1.3083333333333371	45.61666666666666
142	France	Provence-Alpes-Côte d'Azur	Alpes-de-Haute-Provence	156076.0	5.944444444444429	43.99427135678391	6.091666666666669	43.67499999999999
143	France	Provence-Alpes-Côte d'Azur	Alpes-Maritimes	983984.0	7.200858328015329	43.68015825591533	7.216666666666669	43.56666666666666
144	France	Provence-Alpes-Côte d'Azur	Bouches-du-Rhône	1915423.0	5.365396564327483	43.36102636051061	5.116666666666674	42.74166666666666
145	France	Provence-Alpes-Côte d'Azur	Hautes-Alpes	131514.0	6.100888888888875	44.566817488561256	6.23333333333332	44.05833333333333
146	France	Provence-Alpes-Côte d'Azur	Var	935377.0	6.005711610486884	43.189344094165165	6.324999999999989	42.46666666666666
147	France	Provence-Alpes-Côte d'Azur	Vaucluse	531461.0	4.891457586618884	43.964456709366765	5.183333333333337	43.55833333333333
148	Portugal	Aveiro	Águeda	48362.0	-8.446225831399829	40.577391592188015	-8.433333333333337	40.533333333333324
149	Portugal	Aveiro	Albergaria-a-Velha	25442.0	-8.480143134400777	40.692470597911004	-8.48333333333332	40.66666666666666
150	Portugal	Aveiro	Anadia	31046.0	-8.450681341719076	40.448248028820004	-8.466666666666669	40.31666666666666
151	Portugal	Aveiro	Arouca	23156.0	-8.261160714285722	40.92971726458746	-8.308333333333337	40.883333333333326
152	Portugal	Aveiro	Aveiro	76070.0	-8.622110100435833	40.63548533486194	-8.60833333333332	40.60833333333333
153	Portugal	Aveiro	Castelo de Paiva	18068.0	-8.288440860215047	41.041578947368414	-8.316666666666663	41.02499999999999
154	Portugal	Aveiro	Espinho	29932.0	-8.635239614186986	41.00522502874146	-8.633333333333326	40.99166666666666
155	Portugal	Aveiro	Estarreja	27975.0	-8.575776255707751	40.76355292503001	-8.566666666666663	40.699999999999996
156	Portugal	Aveiro	Ílhavo	36574.0	-8.720009832841697	40.614294011357764	-8.699999999999989	40.59166666666666
157	Portugal	Aveiro	Mealhada	19671.0	-8.440655401945719	40.36907256004087	-8.425000000000011	40.30833333333333
158	Portugal	Aveiro	Murtosa	8126.0	-8.64580309627479	40.75372624386077	-8.666666666666657	40.74166666666666
159	Portugal	Aveiro	Oliveira de Azeméis	71219.0	-8.479937379576114	40.85910145623299	-8.491666666666674	40.783333333333324
160	Portugal	Aveiro	Oliveira do Bairro	21903.0	-8.515877192982458	40.51784380222156	-8.550000000000011	40.408333333333324
161	Portugal	Aveiro	Ovar	53988.0	-8.620162268729132	40.87242946432501	-8.60833333333332	40.79166666666666
162	Portugal	Aveiro	Santa Maria da Feira	145489.0	-8.542040457343887	40.975957336934925	-8.51666666666668	40.93333333333333
163	Portugal	Aveiro	São João da Madeira	24743.0	-8.494718571782784	40.89799570446735	-8.5	40.89166666666666
164	Portugal	Aveiro	Sever do Vouga	12703.0	-8.369815256257453	40.73566429418742	-8.375	40.69166666666666
165	Portugal	Aveiro	Vagos	22700.0	-8.682822477650063	40.528623727972196	-8.675000000000011	40.508333333333326
166	Portugal	Aveiro	Vale de Cambra	23748.0	-8.393681917211325	40.846689383309936	-8.35833333333332	40.74999999999999
167	Portugal	Azores	Angra do Heroísmo	28821.0	-27.218484409492277	38.666524086378736	-27.26666666666668	38.59166666666666
168	Portugal	Azores	Calheta	2581.0	-27.98226885644769	38.600631136044875	-27.933333333333337	38.574999999999996
169	Portugal	Azores	Corvo	20.0	-31.112745098039227	39.67962962962962	-31.116666666666674	39.68333333333333
170	Portugal	Azores	Horta	11624.0	-28.643850072780225	38.54629460665044	-28.67500000000001	38.51666666666666
171	Portugal	Azores	Lagoa	11047.0	-25.57713903743314	37.745888310722904	-25.566666666666663	37.74999999999999
172	Portugal	Azores	Lajes das Flores	905.0	-31.18740740740742	39.38573232323232	-31.166666666666657	39.39999999999999
173	Portugal	Azores	Lajes do Pico	3147.0	-28.161309523809507	38.41570286788904	-28.28333333333333	38.349999999999994
174	Portugal	Azores	Madalena	5785.0	-28.523397435897436	38.5237970711297	-28.508333333333326	38.49999999999999
175	Portugal	Azores	Nordeste	4474.0	-25.232904148784	37.84680055642497	-25.23333333333332	37.758333333333326
176	Portugal	Azores	Ponta Delgada	59560.0	-25.660714285714278	37.76088756838332	-25.683333333333337	37.79999999999999
177	Portugal	Azores	Povoação	4571.0	-25.23036492374729	37.762000496401086	-25.25	37.69166666666666
178	Portugal	Azores	Praia da Vitória	19294.0	-27.1044573643411	38.7586117673529	-27.125	38.68333333333333
179	Portugal	Azores	Ribeira Grande	30346.0	-25.57687189579235	37.81595258984857	-25.53333333333333	37.758333333333326
180	Portugal	Azores	Santa Cruz da Graciosa	4064.0	-28.025462962962962	39.067831715210346	-28.025000000000006	39.008333333333326
181	Portugal	Azores	Santa Cruz das Flores	669.0	-31.140611814345988	39.464130434782604	-31.15833333333333	39.449999999999996
182	Portugal	Azores	São Roque do Pico	3079.0	-28.316515151515148	38.520312499999996	-28.333333333333343	38.52499999999999
183	Portugal	Azores	Velas	3980.0	-28.18395316804407	38.68289559014267	-28.150000000000006	38.658333333333324
184	Portugal	Azores	Vila do Porto	5410.0	-25.135918591859166	36.96315468940316	-25.10833333333332	36.94166666666666
185	Portugal	Azores	Vila Franca do Campo	7168.0	-25.424189330543925	37.721140403435186	-25.416666666666657	37.64166666666666
186	Portugal	Beja	Aljustrel	9729.0	-8.163567263640147	37.88143129579443	-8.191666666666663	37.83333333333333
187	Portugal	Beja	Almodôvar	7657.0	-8.06065006915631	37.51285079263067	-8.133333333333326	37.30833333333333
188	Portugal	Beja	Alvito	2548.0	-7.993750000000006	38.26666666666666	-8.033333333333331	38.23333333333333
189	Portugal	Beja	Barrancos	1324.0	-6.978256172839508	38.13390632785251	-7.041666666666657	38.16666666666666
190	Portugal	Beja	Beja	35728.0	-7.860679732076392	38.01410370811025	-7.824999999999989	37.99999999999999
191	Portugal	Beja	Castro Verde	7360.0	-8.084991558128337	37.699806866952784	-8.050000000000011	37.60833333333333
192	Portugal	Beja	Cuba	4913.0	-7.889090486159574	38.16616187110886	-7.883333333333326	38.14999999999999
193	Portugal	Beja	Ferreira do Alentejo	8491.0	-8.113812721507173	38.063305555555544	-8.099999999999994	38.01666666666666
194	Portugal	Beja	Mértola	7733.0	-7.661219849742963	37.64446420104314	-7.616666666666674	37.64166666666666
195	Portugal	Beja	Moura	15649.0	-7.4486000558581225	38.14027274557165	-7.449999999999989	38.08333333333333
196	Portugal	Beja	Odemira	25925.0	-8.64702380952383	37.60213365539452	-8.64166666666668	37.283333333333324
197	Portugal	Beja	Ourique	5624.0	-8.223898305084731	37.65505653266331	-8.275000000000006	37.533333333333324
198	Portugal	Beja	Serpa	15839.0	-7.594077353920682	37.94472653278564	-7.508333333333326	37.849999999999994
199	Portugal	Beja	Vidigueira	6005.0	-7.8019202253855156	38.20999115209089	-7.75	38.14166666666666
200	Portugal	Braga	Amares	19262.0	-8.362172995780583	41.63319923371647	-8.349999999999994	41.62499999999999
201	Portugal	Braga	Barcelos	120164.0	-8.612722540736257	41.53818279039157	-8.616666666666674	41.42499999999999
202	Portugal	Braga	Braga	175747.0	-8.419804228975721	41.55015087474067	-8.416666666666657	41.408333333333324
203	Portugal	Braga	Cabeceiras de Basto	16932.0	-7.99506746900073	41.51160218739797	-7.958333333333343	41.37499999999999
204	Portugal	Braga	Celorico de Basto	20606.0	-8.012378640776689	41.39797646383467	-8.050000000000011	41.35833333333333
205	Portugal	Braga	Esposende	32961.0	-8.770035460992915	41.54248554913294	-8.758333333333326	41.51666666666666
206	Portugal	Braga	Fafe	51965.0	-8.173587041373935	41.452857335855164	-8.158333333333331	41.42499999999999
207	Portugal	Braga	Guimarães	158581.0	-8.302849765258202	41.44623568959502	-8.341666666666669	41.43333333333333
208	Portugal	Braga	Póvoa de Lanhoso	22401.0	-8.267825504738369	41.576908453303794	-8.258333333333326	41.54999999999999
209	Portugal	Braga	Terras de Bouro	7430.0	-8.306292517006824	41.713851468048354	-8.241666666666674	41.62499999999999
